StartTime,Dur,proto,SrcBytes,DstBytes,SrcPkts,DstPkts
21:52:07.907787,0.013497,udp,78,151,1,1
21:52:08.827023,0.000277,tcp,55,60,1,1
21:52:08.950242,0.05156,udp,156,280,2,2
21:52:10.011621,0.208163,udp,154,276,2,2
21:52:11.241497,0.309824,udp,156,320,2,2
21:52:11.288477,0.0,tcp,0,60,0,1
21:52:11.551321,0.0,icmp,188,0,1,0
21:52:12.748890,0.062644,tcp,108,120,2,2
21:52:12.749018,0.038794,tcp,108,120,2,2
21:52:15.670716,0.000202,tcp,55,60,1,1
21:52:18.998213,0.000201,tcp,55,60,1,1
21:52:20.670268,0.0,tcp,60,60,1,1
21:52:22.680673,0.049355,tcp,120,120,2,2
18:36:34.413099,1.025935,man,0,0,0,77
18:38:53.546147,0.001057,man,0,0,0,0
21:51:23.664206,0.0,udp,110,0,1,0
21:51:23.814175,0.0,tcp,55,0,1,0
21:51:24.944867,0.0,tcp,66,0,1,0
21:51:26.194471,0.475913,tcp,2848,7084,12,17
21:51:27.031164,0.233691,tcp,211,287,2,2
21:51:29.691083,3.026662,udp,330,0,3,0
21:51:30.670657,0.000126,tcp,55,60,1,1
21:51:30.944505,0.0,tcp,0,60,0,1
21:51:32.435488,0.093907,udp,156,320,2,2
21:51:32.529395,0.0,icmp,188,0,1,0
21:51:33.492936,0.073073,udp,160,296,2,2
21:51:33.566009,0.0,icmp,176,0,1,0
21:51:33.983386,0.001072,tcp,55,60,1,1
21:51:34.559786,0.114788,udp,158,316,2,2
21:51:34.674574,0.0,icmp,186,0,1,0
21:51:35.514676,1.251323,ipv6-*,540,0,6,0
21:51:35.514676,0.0,igmp,60,0,1,0
21:51:35.669694,0.0,tcp,60,60,1,1
21:51:35.697389,4.768381,udp,234,459,3,3
21:51:35.765629,0.0,igmp,60,0,1,0
21:51:36.536611,0.0,igmp,60,0,1,0
21:51:36.569551,0.0,igmp,60,0,1,0
21:51:36.570379,0.0,igmp,60,0,1,0
21:51:36.581263,0.004282,udp,192,0,2,0
21:51:36.582993,0.001566,udp,232,0,2,0
21:51:36.699320,0.309191,tcp,120,120,2,2
21:51:36.765818,0.0,igmp,60,0,1,0
21:51:37.992997,3.723574,udp,234,302,3,2
21:51:40.229101,0.0,icmp,182,0,1,0
21:51:41.716571,2.772822,icmp,358,0,2,0
21:51:43.529271,0.0,tcp,0,60,0,1
21:51:43.772800,3.005703,udp,1176,0,14,0
